中国联通-北京-酒店,#genre#
CCTV1,http://116.149.224.120:9901/tsfile/live/1000_1.m3u8
CCTV2,http://116.149.224.120:9901/tsfile/live/1001_1.m3u8
IPTV3+,http://116.149.224.120:9901/tsfile/live/1002_1.m3u8
CCTV4,http://116.149.224.120:9901/tsfile/live/1003_1.m3u8
CCTV5,http://116.149.224.120:9901/tsfile/live/1004_1.m3u8
IPTV6+,http://116.149.224.120:9901/tsfile/live/1005_1.m3u8
CCTV7,http://116.149.224.120:9901/tsfile/live/1006_1.m3u8
IPTV8+,http://116.149.224.120:9901/tsfile/live/1007_1.m3u8
CCTV9,http://116.149.224.120:9901/tsfile/live/1008_1.m3u8
CCTV10,http://116.149.224.120:9901/tsfile/live/1009_1.m3u8
CCTV11,http://116.149.224.120:9901/tsfile/live/1010_1.m3u8
CCTV12,http://116.149.224.120:9901/tsfile/live/1011_1.m3u8
CCTV14,http://116.149.224.120:9901/tsfile/live/1013_1.m3u8
CCTV15,http://116.149.224.120:9901/tsfile/live/1014_1.m3u8
综艺.体育,http://116.149.224.120:9901/tsfile/live/1015_1.m3u8
深圳卫视,http://116.149.224.120:9901/tsfile/live/1016_1.m3u8
浙江卫视,http://116.149.224.120:9901/tsfile/live/1017_1.m3u8
动作影视,http://116.149.224.120:9901/tsfile/live/1018_1.m3u8
安徽导视,http://116.149.224.120:9901/tsfile/live/1019_1.m3u8
湖南卫视,http://116.149.224.120:9901/tsfile/live/1023_1.m3u8
北京卫视,http://116.149.224.120:9901/tsfile/live/1024_1.m3u8
上海卫视,http://116.149.224.120:9901/tsfile/live/1025_1.m3u8
辽宁卫视,http://116.149.224.120:9901/tsfile/live/1026_1.m3u8
山东卫视,http://116.149.224.120:9901/tsfile/live/1027_1.m3u8
广东卫视,http://116.149.224.120:9901/tsfile/live/1028_1.m3u8
湖北卫视,http://116.149.224.120:9901/tsfile/live/1029_1.m3u8
天津卫视,http://116.149.224.120:9901/tsfile/live/1030_1.m3u8
江苏卫视,http://116.149.224.120:9901/tsfile/live/1031_1.m3u8
深圳卫视,http://116.149.224.120:9901/tsfile/live/1032_1.m3u8
黑龙江卫视,http://116.149.224.120:9901/tsfile/live/1033_1.m3u8
云南卫视,http://116.149.224.120:9901/tsfile/live/1035_1.m3u8
四川卫视,http://116.149.224.120:9901/tsfile/live/1036_1.m3u8
江西卫视,http://116.149.224.120:9901/tsfile/live/1037_1.m3u8
厦门卫视,http://116.149.224.120:9901/tsfile/live/1038_1.m3u8
河北卫视,http://116.149.224.120:9901/tsfile/live/1040_1.m3u8
东南卫视,http://116.149.224.120:9901/tsfile/live/0117_1.m3u8
重庆卫视,http://116.149.224.120:9901/tsfile/live/1041_1.m3u8
河南卫视,http://116.149.224.120:9901/tsfile/live/1042_1.m3u8
广西卫视,http://116.149.224.120:9901/tsfile/live/1043_1.m3u8
陕西卫视,http://116.149.224.120:9901/tsfile/live/1044_1.m3u8
甘肃卫视,http://116.149.224.120:9901/tsfile/live/1045_1.m3u8
安徽影视,http://116.149.224.120:9901/tsfile/live/1039_1.m3u8
安徽农业科教,http://116.149.224.120:9901/tsfile/live/1050_1.m3u8
安徽人物,http://116.149.224.120:9901/tsfile/live/1051_1.m3u8
青海卫视,http://116.149.224.120:9901/tsfile/live/1048_1.m3u8
